类别,来源,标题,内容,时间,当前链接,上级链接,下载时间
社会,新华网,“我们辛苦一些，居民就安全一些”——社区防控一线的“女军”剪影," 
　　新华社哈尔滨3月8日电(记者强勇、齐泓鑫)“姐，今天没白菜了，啥时有我再去买。”在黑龙江省哈尔滨市道里区爱建社区中兴家园小区，社区工作人员邹爽和一家隔离户在窗口说着话。稍后她把从超市买来的蔬菜递进去，又再次提醒做好防护，然后赶往下一家。


　　早上7点多出门，晚上8点多到家，在社区居委会、居民小区、超市“多点多线”来回奔忙，这是37岁的邹爽一天里的行动轨迹。

　　由于接触的人较多，上有老、下有小的邹爽最近搬出来一个人住。“家里都是丈夫在忙，我也帮不上手，只能每次电话里叮嘱孩子听爸爸的话。”说到这里，邹爽的鼻头有些酸，短暂沉默后，她又抬起头笑了笑，“大家都不容易，慢慢就好起来了。”

　　记者近期在基层采访时，经常可见像邹爽这样默默付出的社区工作者。爱建社区有14名工作人员，其中13人是女性，她们从疫情发生就一直坚守在防疫一线，被一些居民称为社区“女军”。

　　说起职责所在，爱建社区党委书记王宏蜚掰着指头滔滔不绝：防疫宣传、人员排查、信息统计、值守卡点、楼道消毒、为隔离户采购生活必需品……辖区内有数千户居民，社区工作人员就是守门员，在岗时间远超陪伴家人的时间。

　　“手机几乎片刻不敢离身，就怕老百姓有急事，或错过重要的防控指令。”王宏蜚说。

　　去年刚退休的钱朝辉是个闲不住的人，她负责的小区租户多，管理难度大，目前有上百户居民处于封闭隔离状态。

　　“做好社区工作的要诀，就是不能有丝毫马虎。”钱朝辉说。前期入户走访时，她和大伙一遍遍细化询问登记事项和应注意的问题，着重征集居民需求，以便社区及时解决。发放酒精等急需的防控物资时，她经常忙到夜里10点多，毫无怨言。

　　56岁的单宝玲是“女军”里的老大姐，采访期间她的手机聊天软件响个不停，点开看，基本都是居民发送的信息。孩子发烧要对接医院、隔离户要买菜、独居老人要买药，这些在她眼里都是“大事”，都要“马上办”。有时候，光超市她一天就要跑好几个来回。

　　疫情期间，社区工作人员遇到的难题不只是控制出入流量，还要安抚好居民的情绪。

　　2017年王宏蜚考下的国家三级心理咨询师，这回派上了大用场。据她回忆，某小区封闭当天，她接到不下200个居民打来的电话，有不安的，有吐槽的，有质疑的，她都依靠所学一一耐心地做好解释工作。

　　随着近期疫情有所好转和企业陆续复工，社区人流量增加了，“女军”肩上的担子更重了。“我们辛苦一些，居民就安全一些，值！”她们说。
 【编辑:朱延静】 
      ",3-8 12:31,http://www.chinanews.com/sh/2020/03-08/9117672.shtml,http://www.chinanews.com/scroll-news/news2.html,2020-03-08 15:23:01
社会,新华网,长春破获非法生产销售伪劣消毒液团伙案 7人落网," 
　　新华社长春3月8日电(记者周立权)记者8日从吉林省长春市公安局了解到，疫情防控期间，长春警方依法严厉打击妨害疫情防控工作的违法犯罪活动，部署指挥德惠市公安局成功破获非法生产销售伪劣消毒液团伙犯罪案件，抓获7名涉案人员。


　　德惠市公安局近日会同市场监督管理部门联合检查时，在东五道街一百货批发商店发现销售的84消毒液存在产品质量问题。经进一步工作，查明嫌疑人刘某伙同丈夫徐某某等6人，从农安县3次购入700余桶劣质84消毒液和原浆消毒液，勾兑劣质消毒液2000余桶，非法获利4万余元。

　　目前，7名涉案人员被公安机关依法采取刑事强制措施，此案正在进一步审理中。警方提醒，疫情防控阻击战正向纵深发展，对危害疫情防控的违法犯罪行为，将坚决予以打击。
 【编辑:朱延静】 
      ",3-8 12:26,http://www.chinanews.com/sh/2020/03-08/9117670.shtml,http://www.chinanews.com/scroll-news/news2.html,2020-03-08 15:23:02
国际,央视新闻客户端 ,墨西哥确诊新冠肺炎病例上升到7例," 
　　墨西哥当地时间3月7日，墨西哥卫生部宣布，截止到墨西哥当地时间3月7日晚上7点，墨西哥确诊新冠肺炎病例上升到7例，最新确诊的第七例病患是一名在首都墨西哥城的46岁男性，近期曾与美国另一例确诊病患有过近距离接触。该病患目前已经在自己家里进行隔离治疗，身体状态稳定。同时，墨西哥卫生部公布，全国目前有30例疑似新冠肺炎病例，而之前已经排除的疑似病例总共为186例。(总台记者  盛嘉迪 吕兴林)

 【编辑:何路曼】 
      ",3-8 12:25,http://www.chinanews.com/gj/2020/03-08/9117669.shtml,http://www.chinanews.com/scroll-news/news2.html,2020-03-08 15:23:02
财经,新华网,耕海鱼满舱 归来鱼市旺——海南万宁渔港复工复产见闻," 
　　新华社海口3月8日电 题：耕海鱼满舱 归来鱼市旺——海南万宁渔港复工复产见闻

　　新华社记者涂超华、刘博

　　城市尚在沉睡，渔港早已醒来。

　　凌晨5时，海南省万宁市乌场渔港内马达声此起彼伏，码头上人声鼎沸。一艘艘满载着渔获的船陆续靠岸，守候在岸边的鱼商们忙碌起来：验货卸货、讨价还价、过称计重……一艘船上十几筐海鲜几分钟时间就会被抢购一空。在沉寂了近一个月后，乌场渔港又恢复了往日的喧闹繁忙。


　　乌场渔港是海南为数不多的天然渔港之一，附近海域更是南海著名渔场，出产的石斑鱼、马鲛鱼、带鱼、鱿鱼等海产品远近闻名。受新冠肺炎疫情影响，除休渔期外一年四季鱼市不断的乌场渔港从春节开始也进入了休市状态。

　　“渔船出海作业需要多人配合，容易产生聚集风险。”万宁市海洋渔政监察大队乌场中队工作人员许永飞说，随着疫情防控工作取得阶段性成效，当地政府全面推动复工复产，积极引导12米以内的渔船恢复生产，并鼓励渔民在近海进行作业。

　　防疫生产两不误。为确保渔业复工复产安全有序，当地渔政部门在复工复产前对船员进行了排摸调查，每天对进出渔港人员进行健康信息核实，登记健康码状态、现场测量体温，并帮助渔民解决一些复工复产的实际困难。

　　一艘广东电白籍渔船的几百斤鱿鱼一运到码头就被卖光，船主陈颂学这趟赚了两千多元。而就在前些天，因为买不着口罩，他家的船差点不能出海作业。

　　“网购的口罩迟迟到不了货，跑遍了市里的药店和医院都买不着。看着别人的船可以正常出海，我是心急如焚。”陈颂学说，幸亏当地干部送来口罩救了急。

　　陈颂学的船年前从广东转场到乌场渔港，复工复产这几天每天的渔获都还不少。他说，如果接下来都能有这样的收成，因疫情耽误一个月不能出海的损失慢慢就可以补回来。

　　让渔民们越来越有信心的是来收购海货的外地客商又多了起来，这也意味着销路更加通畅，疫情对渔业生产的影响正在慢慢消退。

　　“在我们鱼市，外地收购商的数量多少可是个重要的信号。”在渔港内做海鲜销售生意的纪永飞告诉记者，如果只是万宁市本地商人来收购海货，就说明这些海货更多只是在当地市场销售。本地市场空间毕竟有限，海鲜的价格肯定也高不了。

　　纪永飞是渔港所在地乌场村的村民，头脑灵活的他跟渔港里的几位船主签下了包销合同，这些船收获的海货全部由他代销。

　　“我的海货不到一个小时就卖出去了，买主还都是外地收购商……”纪永飞说。

　　天色渐亮，渔港外的海也愈发清晰，码头上的忙碌仍在继续。有几位市民也来到鱼市“捡漏”，阵阵海风吹来，渔港内满是海的味道。
 【编辑:朱延静】 
      ",3-8 12:25,http://www.chinanews.com/cj/2020/03-08/9117668.shtml,http://www.chinanews.com/scroll-news/news2.html,2020-03-08 15:23:03
港澳,中国新闻网,香港新冠肺炎确诊病例增至109例," 
　　中新网3月8日电 据香港特区政府新闻公报，香港卫生署卫生防护中心公布，截至3月7日晚上8时，香港新冠肺炎个案累计为110宗(包括109宗确诊个案和1宗疑似个案)。

　　卫生防护中心正继续跟进确诊个案的流行病学调查及接触者追踪的工作。中心会为密切接触者安排检疫，其他接触者则会进行医学监察。

　　卫生防护中心发言人表示，中心提醒市民，鉴于全球各地冠状病毒病的疫情正在迅速蔓延，中心建议市民应考虑延迟所有非必要的外游计划。

　　“此外，中心的初步流行病学调查显示，本地社区中出现群组个案，涉及一些多人的聚餐及聚会。中心提醒市民应减少外出及避免聚餐或聚会等社交活动，并尽量与他人保持适当的社交距离。”

 【编辑:李雨昕】 
      ",3-8 12:24,http://www.chinanews.com/ga/2020/03-08/9117601.shtml,http://www.chinanews.com/scroll-news/news2.html,2020-03-08 15:23:03
社会,新华网,北京招募防疫志愿者超7万人," 
　　新华社北京3月8日电(记者樊攀)记者8日从北京团市委获悉，截至目前，北京市各社区(村)服务队已在北京共青团线上系统的“志愿北京”平台累计发布防疫志愿服务相关项目超3700个，招募志愿者超7.7万人。

　　据介绍，在全力防控新冠肺炎疫情之际，北京团市委和北京市志愿服务联合会日前发起“与抗疫一线医务人员家庭手拉手专项志愿服务行动”，开展“邻里相伴”“亲情相伴”“成长相伴”“情感相伴”4项行动，以及为医务人员理发等志愿服务活动，帮助抗疫一线医护人员家庭解决生活用品采买、水电费代缴、亲情问候、聊天陪伴、课业辅导等生活需求。

　　此外，北京团市委号召各志愿者组织在3月集中开展疫情防控志愿服务活动，包括社区疫情防控、心理咨询、社区关爱、首都无偿献血服务、公益捐赠行动等7项内容。

　　“北京天街集团旗下老字号四联美发近日组织志愿服务队，上门为首都医科大学附属北京中医医院的医护工作者义务理发。”北京市志愿服务指导中心副主任李磊说，进入3月以来，北京志愿者组织以区为单位，组织多次义务理发活动，已服务医生、一线民警5000多人次。

 【编辑:朱延静】 
      ",3-8 12:23,http://www.chinanews.com/sh/2020/03-08/9117667.shtml,http://www.chinanews.com/scroll-news/news2.html,2020-03-08 15:23:03
视频,未知,献礼三八节短视频《亲爱的她们》|她们“逆行”的身影，格外动人,,3-8 12:13,http://www.chinanews.com/sh/shipin/2020/03-08/news850322.shtml,http://www.chinanews.com/scroll-news/news2.html,2020-03-08 15:23:04
视频,未知,微视频丨她,,3-8 12:11,http://www.chinanews.com/sh/shipin/2020/03-08/news850321.shtml,http://www.chinanews.com/scroll-news/news2.html,2020-03-08 15:23:04
社会,新华网,疫情下最美巾帼逆行者——“三八”国际劳动妇女节致敬“她力量”," 
　　新华社北京3月8日电 题：疫情下最美巾帼逆行者——“三八”国际劳动妇女节致敬“她力量”

　　新华社记者邱冰清、廖君

　　她是白衣天使，她是人民卫士，疫情下她们是最美逆行者……今年的“三八”国际劳动妇女节如期而至，但却注定不平凡。新冠肺炎疫情下，奋战在抗疫一线的广大女性，如铿锵玫瑰，展现巾帼力量。

　　湖北省武汉市第六医院重症医学科主任朱国超已经在岗近60天。这些天里她只在2月3日中午请了3个小时的假。这弥足珍贵的3小时是为了接治愈的丈夫出院。“那一天，心里犹如久积的阴霾天照进了阳光。”朱国超说。


　　3位至亲在一周内都感染了新冠肺炎，但身为副主任医师的朱国超却忙碌在抗疫一线，有太多的患者等她救治，当被通知丈夫病情危重时她无暇探望，女儿托付给姐姐照顾。她说：“这边抢救不能停。我只能让自己面对墙壁，调整呼吸，强迫自己冷静，然后继续工作。”

　　支撑朱国超熬过来的是“绝不能倒”的强大信念。“不记得深夜在寝室偷偷哭过多少次，撕心裂肺般痛。”但她一遍遍告诉自己绝不能倒下。作为妻子和妈妈，丈夫和女儿需要她；作为医生，病人需要她；作为科室主任，同事需要她。朱国超说：“我要竭尽全力，从死神手里抢夺更多的病人。”

　　她们剪去长发，掩去对未知的担忧，义无反顾走进抗疫最前线，与死神抢人。她们顶风冒雨，藏起对亲人的思念，巡查于社区的大街小巷，守护一方安宁。

　　1月22日，江苏省无锡市公安局新吴分局旺庄派出所社区民警卢秋排查到，辖区内一名在武汉就读的大学生与家人正从武汉返回无锡。1月25日大年初一，该学生姐姐确诊，快速寻找密切接触者成为当务之急。

　　家长的描述无法覆盖他们的全部时间段，“时间链无法闭合，少一秒都会多一重风险。”放弃团圆，卢秋和同事连夜展开研判，通过地区监控、行车记录等，当天成功追踪14名密切接触人员。

　　很快，该户人家相继确诊。周围群众的恐慌给卢秋带来巨大的工作压力。群众有情绪、说话带刺，卢秋在电话里耐心解释，电话不行，她就上门做工作。

　　核查情况、解答咨询，最忙时卢秋每天要接、打近百个电话；举报线索、求助等，卢秋在微信群里接收信息上千条。入户宣传、排查、送物资，卢秋日均行走上万步。“我没有多崇高的想法，但穿上警服，这就是我的职责。”卢秋说。

　　“我报名”“我能行”“我可以”……记者在采访中常常听到她们这样说，质朴却掷地有声，温柔却又坚定有力。

　　“爷爷没事哦。”武汉市第一医院隔离病房里，江苏省人民医院护士沈艳正帮81岁的新冠肺炎患者穿尿不湿，并轻拍着安抚他。随后，沈艳为老人家重新调整好吸氧鼻导管，理顺头发，并帮他戴好口罩。

　　“孩子们勇敢有耐心。”江苏省人民医院援武汉医疗队护理总护士长宋瑾说，她带领的150名护士超八成是女性，其中“90后”占了一半，“在我眼里她们还都是孩子”。在工作中，她们接管的都是危重患者，插管、吸痰、俯卧位通气等专业操作，喂饭、口腔护理、清洁大小便等基础护理工作都是零距离接触，“孩子们”穿着防护服依然完成得不折不扣。经常和曾偷偷哭泣的老人多聊几句，还从住所带上病人爱吃的水果……“孩子们”对病人的关心细致入微。

　　“她们在家里都是宝贝。来到一线，从没人喊苦叫累，都变成了女汉子。需要临时加班只要在队伍里问一下，都是我可以、我行。”宋瑾说，突然间就发现这些“孩子们”长大了。

　　江苏省人民医院援武汉医疗队队长刘云狠抓防护工作，确保队员安全。每次队员出发，她和保障组组长王永红都去送行，队员从医院回来她们再去迎接，给大家发“平安果”。她们俩和宋瑾就像是3个“妈妈”。“都是一群孩子，在前线陪伴患者战胜病魔。我们做妈妈的把她们安全带出，也要把她们平安带回。”宋瑾说。

　　弯弓征战作男儿，梦里曾经与画眉。身披“铠甲”走进“战场”，她们是超人、是战士；脱下警服、白大褂，她们是妈妈、是妻子、是女儿。她们用行动展现巾帼风采，诠释“半边天”的内涵。在这场没有硝烟的战争中，她们的每一次逆行，都是为了一份守护；每一声叮嘱，都是为了一份安宁。她们用女性独有的温柔力量让人们坚信：黑夜无论怎样悠长，天总会亮起来；无论冬天如何寒冷，春天总会到来。
 【编辑:朱延静】 
      ",3-8 12:08,http://www.chinanews.com/sh/2020/03-08/9117664.shtml,http://www.chinanews.com/scroll-news/news2.html,2020-03-08 15:23:04
视频,未知,重磅微视频 | “我是武汉”,,3-8 12:08,http://www.chinanews.com/sh/shipin/2020/03-08/news850320.shtml,http://www.chinanews.com/scroll-news/news2.html,2020-03-08 15:23:05
