title,time,img_url,content,当前链接,上级链接,下载时间
专治各种负能量 皮小曼工作室《鸡皮和他的朋友》重燃你的生活热情,2020-03-06 16:09,"http://www.005.tv/uploads/allimg/200306/66-200306161052910.jpg,http://www.005.tv/uploads/allimg/200306/66-20030616113b03.jpg,http://www.005.tv/uploads/allimg/200306/66-200306161211233.jpg,http://www.005.tv/uploads/allimg/200306/66-200306161244436.jpg,http://www.005.tv/uploads/allimg/200306/66-200306161313548.jpg,","
                    2020年一开始就向所有人宣告它的不一般。疫情的来袭，让全国人民瞬间变成了“宅男”、“宅女”。本来回家过年休假的都市白领们还打算开年各种的买买买、吃吃吃、聚聚聚都只能在“云”端完成，相信很多人在家中已经宅出了心病，渴望能够肆无忌惮地晒晒太阳，看看蓝天。<br/>
如果你也面临着这样的心理压力，不妨观看皮小曼工作室《鸡皮和他的朋友》，让一群激萌的“小可爱”们如阳光般照进你的生活。这部动画短片，每集大约两分钟，却如“速效药”一样，让所有的焦虑与压力一扫而光。
<div style='text-align: center;'>
	#image#</div>
《鸡皮和他的朋友》反应的是当代年轻白领的日常生活，不过在疫情下，很多情节貌似非常令人怀念。鸡皮作为故事的主角，是一名刚步入职场的90后，他贯穿整部动画片的始终，而与他CP的角色有老板“暴龙”、同事“酷鸭”、“郝焦绿”、“白小白”，每个人的人物设定也不尽相同。
<div style='text-align: center;'>
	#image#</div>
“暴龙”是一名表面上十分严厉，实际上内心却十分火热的BOSS，其每个举动背后都有着对员工关爱，员工在与之共事时获得了相应的成长。对BOSS拥有100%忠诚度的“酷鸭”，拥有着钢铁直男的人设，成为剧中的“耿直BOY”。而部门女神“白小白”与“郝焦绿”是一对好姐妹，八卦是两人之间速热的良药。
<div style='text-align: center;'>
	#image#</div>
虽然是以动物指代职场中的五种人，但剧情的真实性让很多观众不禁感慨“真相了”。全剧围绕“加班”、“竞争”、“升职加薪”等时下白领热议的话题，以轻松幽默的形式，向观众传递职场生存发展的核心原理。例如，在大家普遍关心的“加班”话题上，老板以加班后的各种福利“诱惑”大家加班，最后导致大家为了“蝇头小利”而浪费大把宝贵时间演戏给老板看，表演自己很辛苦，但却并未产生实际的价值，从长远看，这种行为实际是损害了老板的利益。
<div style='text-align: center;'>
	#image#</div>
还有最近一期的讲“女神节”的桥段，也十分有趣，讲述的是暴龙给两位女生发放女神节礼物。“白小白”收到的是防狼警报器，而鸡皮一听到警报器的声音就跳起舞来，为了让他安心工作，暴龙让鸡皮自己处理警报器。本想扔掉警报器的鸡皮，想起大家对其舞姿的赞美，犹豫了一下又打开警报器，其实是在告诉白领们不要吝惜自己的赞美，你的赞美可能会让一个人的信心大增。
<div style='text-align: center;'>
	#image#</div>
白领们的生活看似光鲜，但企业运转下去的动力是盈利，他们坐在工位上可能内心经历着诸多的波澜。皮小曼工作室的自制动画短片《鸡皮和他的朋友》很好地反应了当代都市白领的工作状况，并以各种积极正能量的态度，向人们传递该如何让自己在职场生长中形成“正向”成长的能力。正值疫情期间，这种解压又有教育意义的作品，值得你好好观看。<br/>
<br/>
<br/>
<br/>

                ",http://www.005.tv/2020/80271.html,http://www.005.tv/zx/list_526_1.html,2020-03-09 22:54:48
名侦探柯南剧场版《绯色的弹丸》预售卷将延期发售,2020-03-06 11:01,"http://www.005.tv/uploads/allimg/200306/66-20030611024Q58.jpg,","
                    <div style='text-align: center;'>
	#image#</div>
剧场版《名侦探柯南：绯色的弹丸》官方宣布原定3月6日起限定电影院发售的预售卷将延期发售，目前剧场版《名侦探柯南：绯色的弹丸》的上映时间没有变动，依旧是4月17日上映。<br/>
《名侦探柯南：绯色的弹丸》讲述了，世界最大的体育盛会即将在东京举办，结合了日本所有尖端技术，世界首创最高时速1000km的“真空超电导新干线”将在名古屋和东京之间开通。这时候大会赞助商汇集的会场遇到突发事件，企业老板相继被绑架。在背后监视的赤井秀一关注到了这一情况，并且着手解决。柯南在调查之后发现，这次的事件与15年前的在美国波士顿发生的连续绑架事件存在关联。<br/>
<br/>

                ",http://www.005.tv/2020/80270.html,http://www.005.tv/zx/list_526_1.html,2020-03-09 22:54:49
《碧蓝之海》真人版预告片,2020-03-06 10:55,"http://www.005.tv/uploads/allimg/200306/66-200306105615S5.jpg,","
                    <div style='text-align: center;'>
	#image#</div>
《碧蓝之海》是一部以潜水为主题的青春喜剧漫画，在2018年曾被TV动画化。这次的电影版预计将于5月29日上映，英勉担任导演，龙星凉、犬饲贵丈、与田祐希、朝比奈彩等人出演。<br/>
<br/>
<iframe frameborder='0' height='498' src='https://player.youku.com/embed/XNDU3NTQ0MTAwMA==' width='510'></iframe><br/>
根据井上坚二・吉冈公威原作拍摄的真人电影《碧蓝之海》公开了预告片。在这段预告片中可以看到包括主人公们全裸在内的多段场景。
                ",http://www.005.tv/2020/80269.html,http://www.005.tv/zx/list_526_1.html,2020-03-09 22:54:49
《少年JUMP》漫画免费看,2020-03-04 10:50,"http://www.005.tv/uploads/allimg/200304/66-200304105214629.jpg,http://www.005.tv/uploads/allimg/200304/66-2003041053004N.jpg,","
                    <div style='text-align: center;'>
	#image#</div>
由于新冠疫情影响3月2日JUMP编辑部宣布，在全国高、中、小学因预防新冠病毒临时停课待在家里这段期间里，《周刊少年JUMP杂志》的2020年第1期~13期将在电子书店上可以免费浏览
<div style='text-align: center;'>
	#image#</div>
<br/>

                ",http://www.005.tv/2020/80268.html,http://www.005.tv/zx/list_526_1.html,2020-03-09 22:54:50
辉夜大小姐想让我告白第二季将于4月11日上映,2020-03-04 10:34,"http://www.005.tv/uploads/allimg/200304/66-20030410435c02.jpg,","
                    <div style='text-align: center;'>
	<iframe frameborder='0' height='498' src='http://player.youku.com/embed/XNDU3MTgxMzU3Ng==' width='510'></iframe></div>
根据赤坂赤原作制作的TV动画《辉夜姬想让人告白～天才们的恋爱头脑战～》第二季宣布了将于4月11日上映的消息，主宣图与印象PV也一并公开。
<div style='text-align: center;'>
	#image#</div>
《辉夜姬想让人告白～天才们的恋爱头脑战～》以历史悠久的名门高中为舞台，讲述了全年级成绩排名第一的男学生会长白银御行与大财团大小姐副会长四宫辉夜之间的恋爱故事。在这次公开的图片中，可以看到将在本季中登场的主要角色们，PV中则使用了由古贺葵配音的辉夜姬的角色歌。<br/>
<br/>
<br/>
<br/>

                ",http://www.005.tv/2020/80267.html,http://www.005.tv/zx/list_526_1.html,2020-03-09 22:54:50
2020年4月新番《食戟之灵 豪之皿》,2020-03-02 11:03,"http://www.005.tv/uploads/allimg/200302/66-200302110G4K5.jpg,","
                    <div style='text-align: center;'>
	#image#<br/>
	 </div>
故事描述一个家中经营餐馆“幸平饭店”的中学生幸平创真，每天总是以料理人的父亲为目标，不断磨练自己的厨艺。他的父亲心血来潮，叫他进入厨艺专校远月学园就读。创真一到那里，不仅邂逅了拥有“神之舌”的女主角薙切绘里奈，而且还在入学典礼的台上出尽风头。于是，创真一方面将克服一连串的严峻考题，同时也将和每一位好敌手在料理场上较劲……<br/>
<br/>
STAFF<br/>
原作：附田祐斗·佐伯俊  协力：森崎友紀<br/>
监督：米たにヨシトモ<br/>
系列构成：ヤスカワショウゴ<br/>
角色设计：下谷智之<br/>
助监督：鈴木洋平<br/>
副设计：小森 篤<br/>
美术监督：備前光一郎<br/>
色彩设计：伊藤由紀子<br/>
摄影监督：黒澤豊<br/>
剪辑：近藤勇二<br/>
音响监督：明田川仁<br/>
音乐：加藤達也<br/>
动画制作：J.C.STAFF<br/>
CAST<br/>
幸平创真：松冈祯丞<br/>
薙切えりな：金元寿子<br/>
田所恵：高桥未奈美<br/>
タクミ・アルディーニ：花江夏树<br/>
一色慧：樱井孝宏<br/>
久我照纪：梶裕贵<br/>
司瑛士：石田彰<br/>
小林竜胆：伊藤静<br/>
女木岛冬辅：楠大典<br/>
斎藤综明：小西克幸<br/>
茜ヶ久保もも：钉宫理恵<br/>
纪ノ国宁々：花泽香菜<br/>
叡山枝津也：杉田智和<br/>
薙切蓟：速水奨<br/>
幸平城一郎：小山力也<br/>
<br/>

                ",http://www.005.tv/2020/80264.html,http://www.005.tv/zx/list_526_1.html,2020-03-09 22:54:50
名侦探柯南剧场版M《绯色的弹丸》动画主题曲PV,2020-02-29 20:05,"http://www.005.tv/uploads/allimg/200229/66-200229201043644.jpg,http://www.005.tv/uploads/allimg/200229/66-200229201525a1.jpg,http://www.005.tv/uploads/allimg/200229/66-200229201614233.jpg,http://www.005.tv/uploads/allimg/200229/66-200229201620607.jpg,http://www.005.tv/uploads/allimg/200229/66-200229201626417.jpg,http://www.005.tv/uploads/allimg/200229/66-200229201631449.jpg,","
                    <div style='text-align: center;'>
	#image#</div>
名侦探柯南第24部剧场版《名侦探柯南：绯色的弹丸》由永冈智佳担任导演，樱井武晴担任编剧，于2020年4月17日在日本公映<br/>
剧情以在即将举行四年一度的世界最大体育盛典“WSG-世界运动大会-”的东京，发生知名大会赞助商们被绑架的大案为起点展开<br/>
<strong>绯色的弹丸视频</strong>
<div style='text-align: center;'>
	<iframe frameborder='0' height='498' src='http://player.youku.com/embed/XNDU2NTQ4ODM5Mg==' width='510'></iframe></div>
日本迎来了世界最大的体育盛典“WSG-世界运动大会-”在东京的举行。配合开幕式，发表了集成日本技术的、以最高时速1000千米为傲的“真空超导磁悬浮列车”在新名古屋站与东京新设的芝滨站间发车的消息。<br/>
世界瞩目之下，知名赞助商云集的聚会会场发生突发案件！陷入了企业高层陆续被绑架的异常事态。在其背后有着监视案件的赤井秀一的身影，以及等待来自赤井的指令的联邦调查局的身影。<br/>
根据柯南的推理，案件和15年前在美国波士顿发生的令人忌讳的WSG连续绑架案的关联性浮现出来，当时的案件也确定是联邦调查局管辖的。这真的是偶然吗？聚集了来自世界各地人群的日本，究竟会发生什么？<br/>
<strong>视频截图预览：</strong>
<div style='text-align: center;'>
	#image#<br/>
	#image#<br/>
	#image#<br/>
	#image#<br/>
	#image#</div>
<br/>
<br/>
<br/>
<br/>
<br/>

                ",http://www.005.tv/2020/80263.html,http://www.005.tv/zx/list_526_1.html,2020-03-09 22:54:51
预定3月上映的《哆啦A梦：大雄的新恐龙》宣布撤档,2020-02-28 10:41,"http://www.005.tv/uploads/allimg/200228/66-20022Q0422O32.jpg,","
                    据日媒报道，剧场版动画《哆啦A梦：大雄的新恐龙》宣布在日本撤档，具体上映日期待定，该片原定于2020年3月6日在日本上映。
<div style='text-align: center;'>
	#image#</div>
<div>
	动画制作：SHIN-EI动画<br/>
	原作：藤子·F·不二雄<br/>
	导演：今井一晓<br/>
	剧本：川村元气<br/>
	角色设计：小岛崇史<br/>
	CG动画指导：森江康太<br/>
	音乐：服部隆之<br/>
	出品：哆啦A梦电影制作委员会（藤子·F·不二雄制作公司、朝日电视台、SHIN-EI动画、旭通广告公司、ShoPro）<br/>
	发行：东宝株式会社</div>
<br/>

                ",http://www.005.tv/2020/80262.html,http://www.005.tv/zx/list_526_1.html,2020-03-09 22:54:51
4月新番《新樱花大战》动画视频预告,2020-02-28 10:25,"http://www.005.tv/uploads/allimg/200228/66-20022Q02T01H.jpg,","
                    <div style='text-align: center;'>
	#image#</div>
《新樱花大战》改编自同名游戏，于2019年9月宣布动画化，由SANZIGEN负责动画制作，2020年4月播出
<div style='text-align: center;'>
	<iframe frameborder='0' height='498' src='http://player.youku.com/embed/XNDU2NDMyMjg3Mg==' width='510'></iframe></div>
新动画将由以由佐仓绫音配音的帝国华击团华组的天宫樱为中心展开。内田真礼、山村响、福原绫香、早见沙织等在游戏中参与配音的角色，也都将在动画中继续配音。动画由“三次元”公司负责制作，小野学担任导演，小野学、浦畑达彦负责剧本。<br/>
<br/>

                ",http://www.005.tv/2020/80259.html,http://www.005.tv/zx/list_526_1.html,2020-03-09 22:54:51
《数码宝贝大冒险 LAST EVOLUTION 绊》相遇篇CM,2020-02-26 16:37,"http://www.005.tv/uploads/allimg/200226/66-2002261G503307.jpg,","
                    <div style='text-align: center;'>
	<iframe frameborder='0' height='498' src='http://player.youku.com/embed/XNDU2MTEzOTc3Mg==' width='510'></iframe></div>
剧场版动画《数码宝贝大冒险 LAST EVOLUTION 绊》的故事发生时间在八神太一和石田大和22岁的那年，将讲述全新的故事。本作将由初代TV动画的原班人马担任制作，声优将采用《数码宝贝大冒险tri.》的阵容。
<div style='text-align: center;'>
	#image#</div>
《数码宝贝大冒险》20周年剧场版动画《数码宝贝大冒险 LAST EVOLUTION 绊》正在日本上映中，官方在今天（2月25日）公开了“相遇篇”CM，展现了太一和亚古兽相遇的场景，配上慢板的主题曲“Butterfly”，真是让人有泪目的感觉。
                ",http://www.005.tv/2020/80258.html,http://www.005.tv/zx/list_526_1.html,2020-03-09 22:54:52
日本吉卜力美术馆暂停营业,2020-02-25 14:52,"http://www.005.tv/uploads/allimg/200225/66-200225145253521.png,http://www.005.tv/uploads/allimg/200225/66-200225145342K3.jpeg,http://www.005.tv/uploads/allimg/200225/66-200225145516155.jpg,http://www.005.tv/uploads/allimg/200225/66-200225145529538.jpg,","
                    <div style='text-align: center;'>
	#image#</div>
防止新型冠状病毒肺炎在日本的进一步扩散，位于东京都多摩市的日本三丽鸥彩虹乐园，于2月21日在官网宣布2020年2月22日至3月12日暂停营业，暂定于3月13日重新开放。<br/>
京都三鹰市的吉卜力美术馆 资料图<br/>
<div style='text-align: center;'>
	#image#<br/>
	#image#<br/>
	#image#</div>
<br/>

                ",http://www.005.tv/2020/80257.html,http://www.005.tv/zx/list_526_1.html,2020-03-09 22:54:52
