课程名称,课程分类,课程简介,学习人数,课程介绍,课程路径,难度级别,课程时长,评分,章节,当前链接,上级链接,下载时间
初识HTML+CSS,,HTML+CSS基础教程8小时带领大家步步深入学习标签用法和意义,1105780,,课程\前端开发\HTML/CSS\初识HTML+CSS, 9小时18分,,"{""内容实用"":""9.8"",""简洁易懂"":""9.5"",""综合评分"":""9.50"",""评价数"":""9302人评价"",""逻辑清晰"":""9.2""}",,http://www.imooc.com/learn/9,http://www.imooc.com/course/list?page=1,2020/3/9 23:50
Java入门第一季,,本教程从Java环境搭建、工具使用、基础语法开始，带你入门,1053654,,课程\后端开发\Java\Java入门第一季, 5小时 0分,,"{""内容实用"":""9.8"",""简洁易懂"":""9.5"",""综合评分"":""9.57"",""评价数"":""5940人评价"",""逻辑清晰"":""9.4""}",,http://www.imooc.com/learn/85,http://www.imooc.com/course/list?page=1,2020/3/9 23:50
使用ViewPager实现卡片式问答项目（上）,,本门课程将带大家利用ViewPager等技术实现卡片式问答项目上半部分的学习,3286,,课程\移动开发\Android\使用ViewPager实现卡片式问答项目（上）, 1小时37分,,"{""内容实用"":""8.0"",""简洁易懂"":""10.0"",""综合评分"":""9.33"",""评价数"":""4人评价"",""逻辑清晰"":""10.0""}",,http://www.imooc.com/learn/1119,http://www.imooc.com/course/list?page=4,2020/3/9 23:50
Android应用内升级App,,本门课程将大家从0开始撸一个Android应用内升级的Demo。,2783,,课程\移动开发\Android\Android应用内升级App, 1小时52分,,"{""内容实用"":""10.0"",""简洁易懂"":""8.4"",""综合评分"":""9.47"",""评价数"":""5人评价"",""逻辑清晰"":""10.0""}",,http://www.imooc.com/learn/1168,http://www.imooc.com/course/list?page=3,2020/3/9 23:50
C语言入门,,C语言入门视频教程，带你进入编程世界的必修课-C语言,810347,,课程\后端开发\C\C语言入门, 4小时50分,,"{""内容实用"":""9.7"",""简洁易懂"":""9.4"",""综合评分"":""9.43"",""评价数"":""2817人评价"",""逻辑清晰"":""9.2""}",,http://www.imooc.com/learn/249,http://www.imooc.com/course/list?page=1,2020/3/9 23:50
C4D三维字体设计,,手把手带你实现炫酷的三维字体制作,4318,,课程\UI设计&多媒体\模型制作\C4D三维字体设计, 1小时40分,,"{""内容实用"":""8.0"",""简洁易懂"":""10.0"",""综合评分"":""9.33"",""评价数"":""3人评价"",""逻辑清晰"":""10.0""}",,http://www.imooc.com/learn/1120,http://www.imooc.com/course/list?page=4,2020/3/9 23:50
Maya特效之表皮脱落效果——仿电影《攻壳机动队》特效 -上,,Maya特效之表皮脱落效果——仿电影《攻壳机动队》特效,3169,,课程\UI设计&多媒体\动效动画\Maya特效之表皮脱落效果——仿电影《攻壳机动队》特效-上, 1小时39分,,"{""内容实用"":""10.0"",""简洁易懂"":""6.5"",""综合评分"":""8.83"",""评价数"":""4人评价"",""逻辑清晰"":""10.0""}",,http://www.imooc.com/learn/1080,http://www.imooc.com/course/list?page=5,2020/3/9 23:50
Python量化投资,,如何进行量化投资，快加入我们的课程吧，入门量化投资。,3908,,课程\后端开发\Python\Python量化投资, 1小时59分,,"{""内容实用"":""9.2"",""简洁易懂"":""9.6"",""综合评分"":""9.47"",""评价数"":""5人评价"",""逻辑清晰"":""9.6""}",,http://www.imooc.com/learn/1206,http://www.imooc.com/course/list?page=2,2020/3/9 23:50
初识Python,,学python入门视频教程，让你快速入门并能编写简单的Python程序,732757,,课程\后端开发\Python\初识Python, 5小时 0分,,"{""内容实用"":""9.7"",""简洁易懂"":""9.4"",""综合评分"":""9.43"",""评价数"":""3723人评价"",""逻辑清晰"":""9.2""}",,http://www.imooc.com/learn/177,http://www.imooc.com/course/list?page=1,2020/3/9 23:50
解锁网络编程之NIO的前世今生,,解锁网络编程的“乾坤大挪移”-NIO。,16440,,课程\后端开发\Java\解锁网络编程之NIO的前世今生, 1小时40分,,"{""内容实用"":""9.6"",""简洁易懂"":""9.6"",""综合评分"":""9.63"",""评价数"":""39人评价"",""逻辑清晰"":""9.7""}",,http://www.imooc.com/learn/1118,http://www.imooc.com/course/list?page=4,2020/3/9 23:50
